0 [5.00e-02, 1.00e+00]
1 [4.90e-02, 9.99e-01]
2 [4.81e-02, 9.98e-01]
3 [4.72e-02, 9.97e-01]
4 [4.65e-02, 9.96e-01]
5 [4.58e-02, 9.95e-01]
6 [4.52e-02, 9.95e-01]
7 [4.48e-02, 9.94e-01]
8 [4.43e-02, 9.93e-01]
9 [4.39e-02, 9.92e-01]
10 [4.35e-02, 9.92e-01]
11 [4.32e-02, 9.91e-01]
12 [4.28e-02, 9.90e-01]
13 [4.25e-02, 9.89e-01]
14 [4.22e-02, 9.89e-01]
15 [4.19e-02, 9.88e-01]
16 [4.17e-02, 9.87e-01]
17 [4.14e-02, 9.86e-01]
18 [4.12e-02, 9.85e-01]
19 [4.09e-02, 9.84e-01]
20 [4.07e-02, 9.83e-01]
21 [4.05e-02, 9.83e-01]
22 [4.02e-02, 9.82e-01]
23 [4.00e-02, 9.81e-01]
24 [3.98e-02, 9.81e-01]
25 [3.96e-02, 9.80e-01]
26 [3.93e-02, 9.80e-01]
27 [3.91e-02, 9.80e-01]
28 [3.89e-02, 9.80e-01]
29 [3.86e-02, 9.81e-01]
30 [3.84e-02, 9.81e-01]
31 [3.81e-02, 9.82e-01]
32 [3.79e-02, 9.83e-01]
33 [3.76e-02, 9.84e-01]
34 [3.73e-02, 9.84e-01]
35 [3.70e-02, 9.85e-01]
36 [3.68e-02, 9.86e-01]
37 [3.65e-02, 9.88e-01]
38 [3.62e-02, 9.89e-01]
39 [3.59e-02, 9.90e-01]
40 [3.55e-02, 9.91e-01]
41 [3.52e-02, 9.93e-01]
42 [3.49e-02, 9.94e-01]
43 [3.45e-02, 9.95e-01]
44 [3.41e-02, 9.97e-01]
45 [3.37e-02, 9.98e-01]
46 [3.33e-02, 9.99e-01]
47 [3.29e-02, 1.00e+00]
48 [3.25e-02, 1.00e+00]
49 [3.21e-02, 1.00e+00]
50 [3.16e-02, 1.01e+00]
51 [3.12e-02, 1.01e+00]
52 [3.08e-02, 1.01e+00]
53 [3.03e-02, 1.01e+00]
54 [2.99e-02, 1.01e+00]
55 [2.94e-02, 1.01e+00]
56 [2.90e-02, 1.01e+00]
57 [2.85e-02, 1.02e+00]
58 [2.80e-02, 1.02e+00]
59 [2.75e-02, 1.02e+00]
60 [2.71e-02, 1.02e+00]
61 [2.66e-02, 1.02e+00]
62 [2.60e-02, 1.02e+00]
63 [2.55e-02, 1.02e+00]
64 [2.50e-02, 1.03e+00]
65 [2.44e-02, 1.03e+00]
66 [2.39e-02, 1.03e+00]
67 [2.33e-02, 1.03e+00]
68 [2.27e-02, 1.03e+00]
69 [2.21e-02, 1.03e+00]
70 [2.15e-02, 1.03e+00]
71 [2.09e-02, 1.04e+00]
72 [2.03e-02, 1.04e+00]
73 [1.97e-02, 1.04e+00]
74 [1.90e-02, 1.04e+00]
75 [1.84e-02, 1.04e+00]
76 [1.77e-02, 1.04e+00]
77 [1.71e-02, 1.05e+00]
78 [1.64e-02, 1.05e+00]
79 [1.57e-02, 1.05e+00]
80 [1.50e-02, 1.05e+00]
